teamRanking,gamesPlayed,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,team.code,team.tvCodes,team.name,team.imageUrl,season_year,season_code
12,24.0,40.208333333333336,80.8,19.0,36.6,51.8%,9.9,27.8,35.7%,13.2,16.2,81.2%,12.5,22.2,34.7,16.6,6.3,11.7,2.6,3.4,19.5,20.5,88.5,CSK,CSK,CSKA Moscow,https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png,2021,E2021
13,32.0,40.0,80.4,20.7,38.2,54.2%,8.2,22.8,36.1%,14.2,17.4,81.9%,9.1,22.8,31.9,16.5,7.6,11.9,2.1,2.3,18.8,18.9,89.1,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png,2021,E2021
14,33.0,40.45454545454545,78.5,19.5,36.8,52.9%,9.5,27.0,35.1%,11.1,14.5,76.8%,11.8,26.7,38.5,18.0,6.3,12.8,3.1,2.0,19.3,18.5,90.5,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png,2021,E2021
15,33.0,40.75757575757576,84.0,22.4,41.3,54.3%,8.4,22.7,37.2%,13.9,18.8,74%,10.7,23.5,34.2,15.4,7.1,11.2,2.2,1.8,19.8,20.5,92.4,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png,2021,E2021
16,32.0,40.625,82.9,20.5,37.5,54.6%,9.2,22.3,41.3%,14.3,17.3,82.6%,10.4,24.3,34.8,18.7,6.1,13.9,1.8,2.2,21.7,20.1,93.5,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png,2021,E2021
17,31.0,40.483870967741936,80.4,19.8,34.4,57.6%,9.0,25.6,35.3%,13.6,17.8,76.4%,9.1,24.5,33.5,17.5,6.5,11.7,2.5,2.3,17.6,20.1,93.5,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png,2021,E2021
18,34.0,40.44117647058823,83.1,20.0,35.1,56.8%,9.9,26.8,37.1%,13.3,16.2,82.2%,8.9,23.8,32.7,17.4,6.5,11.1,2.6,2.3,16.8,19.4,96.6,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png,2021,E2021
1,34.0,40.0,74.3,19.7,36.9,53.6%,7.3,22.1,33.2%,12.9,16.6,77.5%,8.9,21.5,30.4,14.4,6.5,13.6,2.1,2.5,21.0,20.0,75.0,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png,2022,E2022
2,34.0,40.0,76.6,16.5,34.4,47.9%,9.6,27.5,34.8%,15.0,18.3,82.1%,11.5,22.6,34.1,13.7,6.3,11.5,2.3,2.9,22.1,20.6,77.8,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png,2022,E2022
3,34.0,40.0,76.2,18.9,36.6,51.7%,8.1,22.1,36.4%,14.2,17.9,79.4%,11.3,22.4,33.7,14.1,6.0,12.9,2.6,2.9,20.5,20.1,80.9,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png,2022,E2022
4,34.0,40.294117647058826,74.8,17.5,32.9,53.2%,9.1,25.4,35.8%,12.5,16.1,77.4%,8.6,23.9,32.5,16.3,6.0,12.3,2.0,2.0,20.4,19.5,81.0,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png,2022,E2022
5,34.0,40.44117647058823,77.2,19.3,35.4,54.5%,8.3,24.5,33.8%,13.8,17.8,77.5%,10.4,22.4,32.8,16.9,6.6,12.5,1.6,2.6,21.5,20.1,82.4,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,2022,E2022
6,34.0,40.588235294117645,79.3,18.2,36.0,50.6%,9.0,24.7,36.3%,16.0,21.5,74.2%,9.9,22.4,32.2,14.6,6.6,11.9,2.3,2.3,20.6,22.0,83.0,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png,2022,E2022
7,34.0,40.294117647058826,81.8,18.3,33.4,54.9%,10.4,28.4,36.7%,13.9,17.0,82.1%,9.7,21.5,31.2,17.6,6.7,13.2,1.6,2.6,22.2,20.1,85.0,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png,2022,E2022
8,34.0,40.14705882352941,78.0,18.5,33.9,54.6%,8.9,23.7,37.4%,14.5,18.3,79.3%,8.0,22.8,30.8,19.4,7.1,14.5,2.1,2.5,20.9,20.1,85.6,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png,2022,E2022
9,34.0,40.294117647058826,80.1,19.8,36.9,53.7%,9.4,27.4,34.2%,12.4,16.1,76.9%,11.9,24.2,36.1,19.9,6.8,14.5,3.2,3.0,19.8,18.9,88.8,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png,2022,E2022
10,34.0,40.14705882352941,83.6,21.9,39.6,55.2%,8.8,25.5,34.6%,13.3,16.5,80.9%,12.0,23.3,35.3,16.4,6.7,11.2,3.2,2.1,21.9,18.8,91.3,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png,2022,E2022
11,34.0,40.44117647058823,84.2,21.3,37.6,56.7%,9.8,26.3,37.2%,12.3,17.2,71.2%,11.6,22.0,33.6,18.1,6.6,12.0,1.7,2.4,20.9,20.5,91.8,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png,2022,E2022
12,34.0,40.44117647058823,83.3,23.1,42.2,54.6%,6.7,21.1,31.7%,17.1,22.6,75.3%,12.4,21.6,34.0,15.5,7.3,10.6,2.1,2.4,20.4,22.8,92.4,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png,2022,E2022
13,34.0,40.294117647058826,80.9,18.5,33.9,54.5%,10.1,24.9,40.3%,13.8,17.4,79.4%,10.6,23.7,34.3,19.4,5.8,13.0,2.0,2.1,21.5,20.5,92.5,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png,2022,E2022
14,34.0,40.294117647058826,85.2,21.1,37.7,56.1%,8.4,21.2,39.6%,17.7,21.4,82.7%,9.1,20.8,29.9,14.5,6.5,11.3,2.5,2.2,20.9,22.7,93.9,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png,2022,E2022
15,34.0,40.294117647058826,83.0,19.6,34.2,57.4%,10.1,26.0,38.9%,13.4,16.4,81.9%,8.1,23.9,32.0,15.9,6.2,10.9,2.9,2.5,17.6,20.2,95.8,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png,2022,E2022
16,34.0,40.294117647058826,86.7,20.1,35.0,57.4%,10.8,29.8,36.3%,14.2,18.5,76.8%,10.5,23.8,34.4,19.7,7.0,11.0,2.8,2.5,21.4,20.3,97.9,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png,2022,E2022
17,34.0,40.44117647058823,85.6,20.5,35.6,57.6%,9.3,25.0,37%,16.8,20.9,80.1%,10.0,26.7,36.7,19.6,5.9,13.1,4.3,1.9,20.6,20.8,102.3,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png,2022,E2022
18,34.0,40.0,84.0,20.1,33.1,60.9%,9.9,26.5,37.6%,14.0,18.3,76.5%,9.6,24.0,33.6,21.8,7.7,13.0,2.1,2.0,18.5,21.0,103.0,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png,2022,E2022
1,34.0,40.0,76.2,18.9,37.1,50.8%,8.9,25.3,35.1%,11.9,15.0,79.2%,10.8,21.6,32.4,16.5,7.0,15.1,2.1,3.5,18.3,18.2,77.7,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png,2023,E2023
2,34.0,40.14705882352941,75.9,20.2,38.5,52.4%,7.3,22.2,32.8%,13.8,17.8,77.4%,10.1,24.2,34.4,16.2,6.5,13.6,1.8,3.1,21.1,19.1,78.8,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png,2023,E2023
3,34.0,40.14705882352941,79.5,19.0,35.8,53.1%,9.7,25.0,38.9%,12.3,15.1,81%,9.7,22.1,31.9,15.6,6.5,12.6,1.7,2.9,21.2,18.3,81.9,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png,2023,E2023
4,34.0,40.73529411764706,78.6,19.1,35.7,53.4%,9.9,27.6,35.8%,10.8,13.6,79.8%,10.7,24.7,35.4,16.1,6.1,13.0,2.6,2.5,20.6,18.8,84.4,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png,2023,E2023
5,34.0,40.294117647058826,78.2,18.1,32.8,55.1%,10.0,27.4,36.7%,11.9,15.4,77.6%,8.9,23.3,32.1,16.3,7.0,12.4,2.1,1.7,19.6,19.0,85.5,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png,2023,E2023
6,34.0,40.294117647058826,78.6,21.9,40.9,53.6%,7.2,21.3,33.7%,13.4,17.3,77.3%,10.3,23.7,34.0,17.8,6.0,12.9,1.6,3.3,18.4,19.4,85.8,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png,2023,E2023
7,34.0,40.0,80.2,19.6,36.1,54.3%,9.4,25.9,36.2%,12.9,17.1,75.7%,9.4,23.0,32.4,18.8,6.6,12.1,2.5,2.1,21.6,19.8,87.4,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png,2023,E2023
8,34.0,40.0,81.3,20.0,36.4,54.9%,9.2,27.1,34.1%,13.6,17.6,77%,11.9,22.9,34.7,18.5,6.6,12.1,2.5,2.7,21.6,19.9,88.7,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,2023,E2023
9,34.0,40.44117647058823,83.0,22.1,37.7,58.5%,8.0,22.2,36.2%,14.8,18.1,81.9%,9.1,21.8,30.9,15.1,6.6,12.4,2.3,1.6,21.1,20.4,90.1,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png,2023,E2023
10,34.0,40.14705882352941,81.9,21.8,41.2,52.9%,7.9,22.4,35.3%,14.5,19.5,74.1%,11.3,22.9,34.2,16.1,6.9,10.0,1.8,2.4,19.5,21.6,91.7,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png,2023,E2023
11,34.0,40.44117647058823,79.0,18.9,33.9,55.6%,9.4,25.2,37.3%,13.0,17.5,74.3%,9.4,22.9,32.3,19.3,7.0,11.4,2.8,2.4,18.7,19.3,91.9,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png,2023,E2023
12,34.0,40.14705882352941,84.2,19.5,35.2,55.5%,10.4,28.3,36.7%,14.0,18.4,76.2%,10.3,24.9,35.2,18.8,5.4,12.4,2.3,3.2,18.3,19.1,93.3,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png,2023,E2023
13,34.0,40.588235294117645,85.1,19.1,33.9,56.4%,11.2,28.7,39.1%,13.2,16.5,80.4%,10.1,23.2,33.4,18.1,5.8,12.0,2.4,1.7,21.6,19.8,93.9,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png,2023,E2023
14,34.0,40.44117647058823,81.6,19.9,36.5,54.5%,9.0,23.6,38.1%,14.9,19.8,75.3%,9.9,23.6,33.5,16.5,7.2,12.7,2.7,2.5,17.6,21.5,94.1,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png,2023,E2023
15,34.0,40.0,82.7,22.3,39.8,56.1%,8.6,23.5,36.6%,12.3,16.8,73.2%,11.3,24.7,36.0,19.4,6.2,12.7,2.4,1.9,19.6,18.9,94.5,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png,2023,E2023
16,34.0,40.73529411764706,86.1,21.6,38.5,56.1%,10.0,26.8,37.2%,13.0,15.9,81.4%,10.1,22.2,32.3,17.9,7.0,10.3,3.1,2.0,18.5,18.5,97.4,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png,2023,E2023
17,34.0,40.14705882352941,87.7,23.0,43.1,53.3%,8.7,23.8,36.4%,15.8,20.2,78%,13.0,23.0,36.0,19.6,7.3,12.3,3.1,2.2,20.1,19.7,99.2,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png,2023,E2023
18,34.0,40.88235294117647,88.2,20.9,36.5,57.3%,10.1,27.0,37.4%,16.1,19.6,82.3%,9.9,26.9,36.8,20.5,6.3,12.4,3.5,1.7,18.9,20.2,106.5,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png,2023,E2023
1,34.0,40.44117647058823,78.7,22.6,41.4,54.7%,7.2,24.1,30.1%,11.7,16.1,72.7%,11.7,22.7,34.4,19.7,6.4,15.5,2.1,3.6,21.8,19.0,79.4,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png,2024,E2024
2,34.0,40.14705882352941,77.4,17.0,32.5,52.2%,9.6,27.9,34.3%,14.8,19.6,75.5%,11.0,22.8,33.8,15.3,6.0,12.7,2.7,2.4,22.8,20.8,79.5,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png,2024,E2024
3,34.0,40.14705882352941,80.9,18.8,34.9,54%,9.1,24.9,36.4%,16.0,20.4,78.4%,10.1,22.6,32.7,17.8,6.5,13.8,2.4,2.9,21.6,20.5,86.2,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png,2024,E2024
4,34.0,40.14705882352941,79.2,20.2,36.8,55%,7.6,24.3,31.2%,16.0,20.0,80%,9.9,22.2,32.2,18.5,6.1,11.9,2.3,2.3,20.9,21.0,86.9,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png,2024,E2024
5,34.0,40.0,86.5,20.3,37.4,54.4%,10.6,30.1,35.3%,13.9,18.1,76.9%,11.8,23.1,34.9,15.9,6.6,10.4,2.0,2.8,21.7,19.6,89.8,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png,2024,E2024
6,34.0,40.0,81.8,20.7,38.1,54.2%,9.0,24.0,37.3%,13.5,17.8,75.9%,10.8,21.6,32.4,17.9,7.2,10.8,3.0,2.6,20.5,19.3,91.0,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png,2024,E2024
7,34.0,40.588235294117645,82.8,19.9,36.4,54.6%,9.5,25.9,36.6%,14.5,19.5,74.4%,11.1,22.6,33.7,19.9,6.3,12.3,1.8,2.4,20.9,20.2,91.1,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,2024,E2024
8,34.0,40.0,83.2,17.7,33.5,52.7%,11.2,29.7,37.9%,14.1,17.2,82.1%,11.8,23.7,35.6,17.2,6.1,12.6,2.5,1.7,21.4,19.9,91.3,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png,2024,E2024
9,34.0,40.14705882352941,82.6,21.0,38.4,54.6%,9.0,26.1,34.5%,13.6,17.7,76.8%,12.3,23.9,36.2,18.1,5.4,12.1,2.9,3.2,17.6,18.9,92.6,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png,2024,E2024
10,34.0,40.0,87.2,18.1,31.1,58.2%,12.5,32.1,39%,13.4,16.0,83.5%,10.2,21.8,32.1,18.9,6.6,13.4,1.2,2.6,20.4,18.9,93.3,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png,2024,E2024
11,34.0,40.0,85.9,23.0,42.1,54.6%,8.1,22.5,35.8%,15.7,19.5,80.6%,12.1,23.2,35.3,19.0,6.1,13.1,1.6,2.6,20.1,20.6,95.4,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png,2024,E2024
12,34.0,40.14705882352941,85.4,19.0,35.2,54%,10.0,25.2,39.5%,17.5,21.1,83%,8.8,23.1,31.9,17.3,6.4,12.1,2.0,1.9,19.6,21.7,96.1,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png,2024,E2024
13,34.0,40.294117647058826,85.1,21.1,35.3,59.8%,9.3,28.0,33.3%,14.9,19.2,77.9%,10.6,26.4,37.0,18.7,5.8,13.2,2.9,2.0,20.2,20.7,97.7,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png,2024,E2024
14,34.0,40.294117647058826,86.3,22.7,40.9,55.5%,8.1,22.5,35.9%,16.6,21.7,76.8%,10.4,23.0,33.4,18.9,6.8,10.6,2.9,2.2,21.2,22.0,98.8,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png,2024,E2024
15,34.0,40.44117647058823,88.1,23.6,40.8,57.8%,9.6,24.8,38.8%,12.1,15.6,77.5%,10.1,23.6,33.7,20.1,7.5,11.8,2.0,1.9,20.7,19.1,100.3,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png,2024,E2024
16,34.0,40.14705882352941,86.8,22.6,38.4,59%,9.4,24.1,38.9%,13.3,16.5,80.7%,10.3,23.2,33.5,18.9,6.8,12.2,3.9,2.1,19.4,19.2,101.6,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png,2024,E2024
17,34.0,40.14705882352941,86.9,20.3,35.1,57.7%,9.7,25.9,37.6%,17.1,22.6,75.9%,10.8,22.7,33.5,21.4,6.4,11.7,2.4,1.9,18.4,20.7,102.7,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png,2024,E2024
18,34.0,40.14705882352941,88.4,21.9,37.3,58.8%,9.8,25.4,38.7%,15.1,20.1,75.1%,10.2,24.2,34.4,19.4,6.9,11.4,2.7,2.3,17.9,20.7,105.0,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png,2024,E2024
